date,identity_list_events_on_that_date
2025-10-22,1
2025-10-23,2
2025-10-24,1
2025-10-27,1
2025-11-04,1
2025-11-06,2
2025-11-07,1
2025-11-08,1
2025-11-10,1
2025-11-11,1
2025-11-12,1
2025-11-14,1
2025-11-15,1
2025-11-18,1
2025-11-19,2
2025-11-26,2
2025-11-30,1
2025-12-01,1
2025-12-02,1
2025-12-04,1
2025-12-05,1
2025-12-08,2
2025-12-11,1
2025-12-13,1
2025-12-14,1
2026-01-03,1
2026-01-05,2
2026-01-07,1
2026-01-08,1
2026-01-09,4
2026-01-10,1
2026-01-11,2
2026-01-12,2
2026-01-14,6
2026-01-16,2
2026-01-20,3
2026-01-22,1
2026-01-24,4
2026-01-27,1
2026-01-29,2
2026-01-30,1
2026-01-31,1
2026-02-02,1
2026-02-03,4
2026-02-05,1
2026-02-08,1
2026-02-09,1
2026-02-12,2
2026-02-14,1
2026-02-17,1
2026-02-19,1
2026-02-20,1
2026-02-21,2
2026-02-25,2
2026-02-26,1
2026-02-28,3
2026-03-03,1
2026-03-05,2
2026-03-06,3
2026-03-08,1
2026-03-10,1
2026-03-11,1
2026-03-12,1
2026-03-14,1
2026-03-16,2
